Date,Open,High,Low,Close
07/25/2021,"33,919","34,800","33,851","34,481"
07/24/2021,"32,477","34,518","32,476","33,919"
07/23/2021,"32,257","32,879","32,038","32,477"
07/22/2021,"31,864","32,597","31,716","32,257"
07/21/2021,"29,864","32,800","29,513","31,864"
07/20/2021,"30,793","31,004","29,336","29,864"
07/19/2021,"31,663","31,920","30,568","30,793"
07/18/2021,"31,755","32,404","31,159","31,663"
07/17/2021,"31,850","31,932","31,224","31,755"
07/16/2021,"31,748","32,233","31,085","31,850"
07/15/2021,"32,811","33,162","31,174","31,748"
07/14/2021,"32,519","33,066","31,628","32,811"
07/13/2021,"32,833","33,315","32,239","32,519"
07/12/2021,"33,859","34,611","32,660","32,833"
07/11/2021,"33,329","34,077","33,279","33,859"
07/10/2021,"33,508","34,229","33,098","33,329"
07/09/2021,"32,788","33,667","32,302","33,508"
07/08/2021,"34,550","34,550","32,142","32,788"
07/07/2021,"33,941","35,040","33,724","34,550"
07/06/2021,"33,847","35,058","33,601","33,941"
07/05/2021,"35,542","35,945","33,171","33,847"
07/04/2021,"34,715","35,679","34,297","35,542"
07/03/2021,"33,124","34,926","33,106","34,715"
07/02/2021,"33,411","33,955","32,747","33,124"
07/01/2021,"34,585","35,203","32,819","33,411"
06/30/2021,"36,156","36,301","34,075","34,585"
06/29/2021,"34,682","36,548","34,142","36,156"
06/28/2021,"32,648","35,224","32,493","34,721"
06/27/2021,"31,315","33,555","30,968","32,648"
06/26/2021,"32,212","32,638","30,190","31,329"
06/25/2021,"34,858","35,496","31,508","32,212"
06/24/2021,"33,066","35,228","32,364","34,857"
06/23/2021,"32,895","34,789","31,772","33,066"
06/22/2021,"32,622","33,240","29,002","32,895"
06/21/2021,"35,853","35,905","31,822","32,622"
06/20/2021,"36,193","36,193","33,400","35,853"
06/19/2021,"35,493","36,396","34,888","36,193"
06/18/2021,"37,752","38,186","35,204","35,493"
06/17/2021,"38,550","39,510","37,448","37,752"
06/16/2021,"39,943","40,473","38,364","38,550"
06/15/2021,"39,836","41,289","39,612","39,949"
06/14/2021,"40,926","40,926","39,382","39,809"
06/13/2021,"36,041","38,830","34,982","38,830"
06/12/2021,"37,331","37,342","35,509","36,041"
06/11/2021,"36,410","37,537","36,217","37,331"
06/10/2021,"36,387","38,389","35,850","36,410"
06/09/2021,"33,625","36,825","32,466","36,406"
06/08/2021,"34,454","34,630","31,101","33,638"
06/07/2021,"35,938","36,767","34,155","34,471"
06/06/2021,"35,857","36,454","34,874","35,897"
06/05/2021,"37,071","37,942","35,396","35,826"
06/04/2021,"38,691","39,277","35,626","37,071"
06/03/2021,"37,739","39,469","37,249","38,693"
06/02/2021,"36,313","38,213","35,976","37,739"
06/01/2021,"36,677","37,852","35,792","36,330"
05/31/2021,"36,080","37,465","34,230","36,677"
05/30/2021,"34,266","36,354","33,554","36,115"
05/29/2021,"35,260","37,236","33,687","34,266"
05/28/2021,"38,476","39,189","35,201","35,245"
05/27/2021,"38,756","40,401","37,266","38,476"
