sequence,symbol,ask_price,partitionKey,time_exchange,bid_size,id,ts,ask_size,bid_price
913536,QUOTE_COINBASE_SPOT_BTC_USDT,16904.19,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:25.957198Z,0.052274,b9f10ef5-f545-41f2-a10e-e7a623298b19,2023-01-04T18:11:26.023673100Z,0.02839498,16902.08
913537,QUOTE_COINBASE_SPOT_BTC_USDT,16904.19,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:26.492171Z,0.002274,7a918eb2-f105-4da4-8d60-d2244fe34655,2023-01-04T18:11:26.558924400Z,0.02839498,16902.08
913540,QUOTE_COINBASE_SPOT_BTC_USDT,16904.19,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:27.400642Z,0.052274,4c93f299-4483-441f-8f89-f948c6b6cb76,2023-01-04T18:11:27.467183800Z,0.02839498,16902.08
913541,QUOTE_COINBASE_SPOT_BTC_USDT,16904.19,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:27.635566Z,0.02,138c800c-102d-4928-bcec-2147ae03fc4f,2023-01-04T18:11:27.705216100Z,0.02839498,16902.09
913549,QUOTE_COINBASE_SPOT_BTC_USDT,16904.52,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:28.361128Z,0.06175739,a7fd46b0-192c-4e6c-add1-09bb92b85b71,2023-01-04T18:11:28.428555500Z,0.05917796,16902.09
913550,QUOTE_COINBASE_SPOT_BTC_USDT,16904.52,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:29.964180Z,0.11175739,4e0b1faa-0156-4fe6-bf33-8d12e18eee91,2023-01-04T18:11:30.045445900Z,0.05917796,16902.09
913557,QUOTE_COINBASE_SPOT_BTC_USDT,16904.52,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:30.872270Z,0.09175739,ce1e2ee3-fca9-47a3-a81f-4228161e3fdf,2023-01-04T18:11:30.943388300Z,0.05917796,16901.9
913558,QUOTE_COINBASE_SPOT_BTC_USDT,16904.52,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:32.265044Z,0.02,33c78dbb-345d-49ca-9c42-686d874b0234,2023-01-04T18:11:32.338204800Z,0.05917796,16901.91
913566,QUOTE_COINBASE_SPOT_BTC_USDT,16904.52,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:32.827143Z,0.02,4a7836d2-f4f2-4bb5-80ab-18bcb54fbe2a,2023-01-04T18:11:32.895396800Z,0.05917796,16902.26
913569,QUOTE_COINBASE_SPOT_BTC_USDT,16904.5,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:34.813081Z,0.05918595,f716aaf8-8100-4c7b-9c4f-b63ccc4f0c37,2023-01-04T18:11:34.886126300Z,0.04175739,16902.22
913572,QUOTE_COINBASE_SPOT_BTC_USDT,16904.49,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:35.255777Z,0.05918791,081a7d8f-5d91-4905-9e2f-9dcf67fd850a,2023-01-04T18:11:35.323026700Z,0.004,16901.67
913577,QUOTE_COINBASE_SPOT_BTC_USDT,16904.37,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:35.851450Z,0.10918791,9c89f320-9e74-4912-a895-c80cef41f570,2023-01-04T18:11:35.917997500Z,0.04175739,16901.67
913584,QUOTE_COINBASE_SPOT_BTC_USDT,16904.37,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:36.092510Z,0.05918791,b9ba01ae-e369-45f1-9744-6c15515a7bde,2023-01-04T18:11:36.158773800Z,0.04175739,16901.67
913588,QUOTE_COINBASE_SPOT_BTC_USDT,16904.13,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:37.173994Z,0.05918791,a7e1354c-8c71-4d2f-aa91-71f15c4722ad,2023-01-04T18:11:37.244818700Z,0.004,16901.67
913590,QUOTE_COINBASE_SPOT_BTC_USDT,16904.31,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:37.839455Z,0.10918791,d9727fad-80d5-431d-a0d2-f5bb1a4cf2c9,2023-01-04T18:11:37.926743400Z,0.04175739,16901.67
913599,QUOTE_COINBASE_SPOT_BTC_USDT,16904.52,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:38.356268Z,0.04175739,061e2585-e839-46e2-a35b-a64cde40fb6f,2023-01-04T18:11:38.429945900Z,0.05917796,16901.9
913604,QUOTE_COINBASE_SPOT_BTC_USDT,16904.52,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:38.861684Z,0.04175739,9cd7fa8d-eb94-4183-b416-4c6e16d0349f,2023-01-04T18:11:38.930058200Z,0.05917796,16902.35
913616,QUOTE_COINBASE_SPOT_BTC_USDT,16906.06,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:39.366041Z,0.04175739,1c499e0b-0f7f-4068-8716-ba9ba465e0b9,2023-01-04T18:11:39.437455900Z,0.02839498,16903.11
913618,QUOTE_COINBASE_SPOT_BTC_USDT,16906.91,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:39.497487Z,0.04175739,11855f54-80a3-4ac5-a5a1-0a595ec7aebc,2023-01-04T18:11:39.566840Z,0.04175739,16903.11
913621,QUOTE_COINBASE_SPOT_BTC_USDT,16906.9,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:40.410486Z,0.05,74e8bb66-4826-41cf-9ed4-fcb8ce214999,2023-01-04T18:11:40.477344600Z,0.004,16903.13
913648,QUOTE_COINBASE_SPOT_BTC_USDT,16906.69,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:40.823327Z,0.04175739,86e9a824-f22d-401c-840c-405ab6510517,2023-01-04T18:11:40.890496800Z,0.04175739,16903.34
913705,QUOTE_COINBASE_SPOT_BTC_USDT,16906.51,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:41.418380Z,0.04175739,8aae29b0-7b8f-4ef4-b0d2-54540aa8e4f6,2023-01-04T18:11:41.484381600Z,0.04175739,16903.11
913763,QUOTE_COINBASE_SPOT_BTC_USDT,16906.22,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:41.898909Z,0.04175739,61db7e6b-ca8a-4966-83ba-4edc4fd9ce26,2023-01-04T18:11:41.966237700Z,0.02868141,16903.52
913772,QUOTE_COINBASE_SPOT_BTC_USDT,16906.01,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:42.289430Z,0.05918195,5407d752-b408-4b35-b1c4-70bd162ce8ff,2023-01-04T18:11:42.358259900Z,0.02,16903.37
913774,QUOTE_COINBASE_SPOT_BTC_USDT,16906.01,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:42.889146Z,0.05918195,781b362f-f675-4be8-8216-9347d331783c,2023-01-04T18:11:42.957451600Z,0.02,16903.37
913776,QUOTE_COINBASE_SPOT_BTC_USDT,16906.01,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:43.381385Z,0.05918195,96daaf7c-4873-4f5c-b152-cb28825dc163,2023-01-04T18:11:43.449372800Z,0.02,16903.37
913784,QUOTE_COINBASE_SPOT_BTC_USDT,16905.77,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:43.510009Z,0.05918195,82159374-c38d-45f7-a7f3-5ca4ae31f6ae,2023-01-04T18:11:43.579725400Z,0.02868141,16903.37
913787,QUOTE_COINBASE_SPOT_BTC_USDT,16905.77,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:44.398473Z,0.05,dffe377d-faaa-4b8d-b5ff-bbf3f5b512c8,2023-01-04T18:11:44.468189200Z,0.02868141,16903.38
913791,QUOTE_COINBASE_SPOT_BTC_USDT,16906.11,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:45.828195Z,0.05918195,73e5bd9f-2d61-4402-a86e-1f436617fb8b,2023-01-04T18:11:45.894559800Z,0.04175739,16903.37
913798,QUOTE_COINBASE_SPOT_BTC_USDT,16906.1,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:46.056238Z,0.05918195,ed699f88-13d3-4ef1-9552-5adab6d5e4dc,2023-01-04T18:11:46.129435800Z,0.02,16903.37
913802,QUOTE_COINBASE_SPOT_BTC_USDT,16905.87,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:47.271252Z,0.05918195,8d29805a-ce4f-4d8e-b468-5c76da6e7d10,2023-01-04T18:11:47.338555Z,0.04175739,16903.37
913810,QUOTE_COINBASE_SPOT_BTC_USDT,16905.92,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:47.695265Z,0.05918195,77b8af1b-79d2-42e3-bedd-fde0728b7e4a,2023-01-04T18:11:47.770342800Z,0.06175739,16903.37
913817,QUOTE_COINBASE_SPOT_BTC_USDT,16905.91,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:48.096550Z,0.1,0c0050f2-2ab9-4244-a2f1-e6092108144a,2023-01-04T18:11:48.166738900Z,0.02868141,16903.38
913821,QUOTE_COINBASE_SPOT_BTC_USDT,16905.91,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:49.310560Z,0.1,404fe53a-6ae7-4ef9-93b1-1bec59459712,2023-01-04T18:11:49.380195800Z,0.02868141,16903.54
913824,QUOTE_COINBASE_SPOT_BTC_USDT,16905.86,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:49.859309Z,0.1,9710d157-992d-4d0b-8853-59d58184c243,2023-01-04T18:11:49.927642300Z,0.02,16903.54
913837,QUOTE_COINBASE_SPOT_BTC_USDT,16905.78,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:50.373807Z,0.1,84656941-ff91-4539-a16e-7b9c489c51e9,2023-01-04T18:11:50.443783700Z,0.02,16903.54
913847,QUOTE_COINBASE_SPOT_BTC_USDT,16906.01,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:51.375489Z,0.1,474107dc-8377-4eaa-8c2a-ccdca6a6b983,2023-01-04T18:11:51.458135300Z,0.02868141,16903.58
913860,QUOTE_COINBASE_SPOT_BTC_USDT,16905.57,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:51.905967Z,0.1,6ea23ea6-5cda-44a1-8e0d-97a466f317fa,2023-01-04T18:11:51.974249100Z,0.04175739,16903.58
913866,QUOTE_COINBASE_SPOT_BTC_USDT,16905.56,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:52.170678Z,0.1,755b1f64-a0ea-434c-af28-2c22cf8fd924,2023-01-04T18:11:52.237200500Z,0.02,16903.58
913874,QUOTE_COINBASE_SPOT_BTC_USDT,16905.21,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:53.314131Z,0.1,43d059b1-8551-4a22-a547-a8f6d55d912a,2023-01-04T18:11:53.380797Z,0.02871453,16903.58
913885,QUOTE_COINBASE_SPOT_BTC_USDT,16904.76,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:53.911545Z,0.05918394,82b9c3b7-f2d5-4376-88a8-6cdbf9b601f0,2023-01-04T18:11:53.978153400Z,0.04175739,16902.79
913892,QUOTE_COINBASE_SPOT_BTC_USDT,16904.6,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:54.166411Z,0.1,64e1d821-53d0-4dc5-af50-4fc2c9e6d379,2023-01-04T18:11:54.233261400Z,0.05917766,16902.8
